graph,predicate
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#abbreviation
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#allowableQualifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#altLabel
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#annotation
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#broaderConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#broaderQualifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#casn1_label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#considerAlso
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#dateCreated
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#dateEstablished
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#dateRevised
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#entryVersion
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#frequency
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#hasDescriptor
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#hasQualifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#historyNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#identifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#indexerConsiderAlso
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#lastActiveYear
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#lexicalTag
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#mappedTo
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#narrowerConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#nlmClassificationNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#note
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#onlineNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#parentTreeNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#pharmacologicalAction
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#prefLabel
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#preferredConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#preferredMappedTo
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#preferredTerm
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#previousIndexing
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#publicMeSHNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#registryNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#relatedConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#relatedRegistryNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#scopeNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#seeAlso
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#sortVersion
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#source
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#term
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#thesaurusID
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#treeNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#useInstead
http://id.nlm.nih.gov/mesh/,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://www.w3.org/2000/01/rdf-schema#label
https://purl.humanatlas.io/graph/ccf,http://ccf_tools_helpers/class_helper.owl#IN_OBO
https://purl.humanatlas.io/graph/ccf,http://data.bioontology.org/metadata/prefixIRI
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/chromosomal_location
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/gene_group
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/gene_group_id
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/locus_group
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/locus_type
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/prev_symbol
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/status
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/symbol
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000028
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000111
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000112
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000114
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000115
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000116
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000117
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000118
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000119
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000232
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000233
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000424
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000425
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0100001
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/NCIT_P106
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/NCIT_P108
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/OMO_0002000
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/PCL_0010058
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0001900
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0002161
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0002171
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0002174
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0002175
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0002604
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0004050
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0040042
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000001
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000002
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000003
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000004
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000005
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000006
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000007
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000008
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000009
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000010
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000011
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000012
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000013
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000014
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000015
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000100
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000101
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000104
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000105
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000106
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000107
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000201
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000202
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/ccf_asctb_type
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/ccf_biomarker_type
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/ccf_ct_isa
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/ccf_is_provisional
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/ccf_located_in
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/ccf_part_of
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/ccf_pref_label
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/consortium_name
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/creator_first_name
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/creator_last_name
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/creator_orcid
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/dimension_unit
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/extraction_set_for
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/file_format
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/file_name
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/file_subpath
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/file_url
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/has_extraction_set
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/has_object_reference
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/has_placement
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/has_reference_organ
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/organ_owner_sex
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/organ_side
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/placement_for
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/placement_relative_to
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/representation_of
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/rotation_order
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/rotation_unit
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/rui_rank
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/scaling_unit
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/translation_unit
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/x_dimension
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/x_rotation
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/x_scaling
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/x_translation
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/y_dimension
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/y_rotation
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/y_scaling
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/y_translation
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/z_dimension
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/z_rotation
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/z_scaling
https://purl.humanatlas.io/graph/ccf,http://purl.org/ccf/z_translation
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/elements/1.1/date
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/elements/1.1/description
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/elements/1.1/source
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/terms/contributor
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/terms/created
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/terms/creator
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/terms/date
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/terms/dateAccepted
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/terms/description
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/terms/license
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/terms/modified
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/terms/publisher
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/terms/references
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/terms/source
https://purl.humanatlas.io/graph/ccf,http://purl.org/dc/terms/title
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/AAL
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/Date_entered_modified
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/English_equivalent
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/Eponym
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/FMAID
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/RadLex_ID
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/TA_ID
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/Talairach
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/abbreviation
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/author
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/authority
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/definition
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/homonym_for
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/homonym_of
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/language
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/modification
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/name
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/non-English_equivalent
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/preferred_name
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/reference
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/synonym
https://purl.humanatlas.io/graph/ccf,http://purl.org/sig/ont/fma/term_status
https://purl.humanatlas.io/graph/ccf,http://schema.org/dateCreated
https://purl.humanatlas.io/graph/ccf,http://schema.org/version
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#contributor
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#created_by
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#creation_date
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#date_retrieved
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#editor
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#exceptions
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#exceptions_url
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#external_class
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#external_ontology
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#hasDbXref
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#hasOBONamespace
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#hasScope
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#hasSynonymType
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#id
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#inSubset
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#is_class_level
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#is_metadata_tag
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#notes
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#ontology
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#shorthand
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#source
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#status
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#submitter
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#taxon
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#url
https://purl.humanatlas.io/graph/ccf,http://www.geneontology.org/formats/oboInOwl#version
https://purl.humanatlas.io/graph/ccf,http://www.lungmap.net/ontologies/database#HTC_Code
https://purl.humanatlas.io/graph/ccf,http://www.lungmap.net/ontologies/database#definition
https://purl.humanatlas.io/graph/ccf,http://www.lungmap.net/ontologies/database#display
https://purl.humanatlas.io/graph/ccf,http://www.lungmap.net/ontologies/database#has_abbreviation
https://purl.humanatlas.io/graph/ccf,http://www.lungmap.net/ontologies/database#has_domain
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/1999/02/22-rdf-syntax-ns#first
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2000/01/rdf-schema#comment
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2000/01/rdf-schema#isDefinedBy
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2000/01/rdf-schema#label
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2000/01/rdf-schema#seeAlso
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2000/01/rdf-schema#subClassOf
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2002/07/owl#annotatedProperty
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2002/07/owl#annotatedSource
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2002/07/owl#annotatedTarget
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2002/07/owl#deprecated
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2002/07/owl#intersectionOf
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2002/07/owl#inverseOf
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2002/07/owl#onProperty
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2002/07/owl#propertyChainAxiom
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2002/07/owl#someValuesFrom
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2004/02/skos/core#altLabel
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/2004/02/skos/core#prefLabel
https://purl.humanatlas.io/graph/ccf,http://www.w3.org/ns/prov#wasDerivedFrom
https://purl.humanatlas.io/graph/ccf,http://xmlns.com/foaf/0.1/depiction
https://purl.humanatlas.io/graph/hra-lit-universe,http://schema.org/about
https://purl.humanatlas.io/graph/hra-lit-universe,http://schema.org/datePublished
https://purl.humanatlas.io/graph/hra-lit-universe,http://schema.org/identifier
https://purl.humanatlas.io/graph/hra-lit-universe,http://schema.org/name
https://purl.humanatlas.io/graph/hra-lit-universe,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
